key,value
shapley.ypenburg_1940__maleme_1941.lanchester.HOLD,-0.03698333333333333
shapley.ypenburg_1940__maleme_1941.lanchester.MASS,0.021933333333333326
shapley.ypenburg_1940__maleme_1941.lanchester.RESPONSE,0.0
shapley.ypenburg_1940__maleme_1941.lanchester.RISK,-0.004399999999999999
shapley.ypenburg_1940__rethymno_1941.crt.AIR,0.013249999999999996
shapley.ypenburg_1940__rethymno_1941.crt.DENIAL,-0.013833333333333335
shapley.ypenburg_1940__rethymno_1941.crt.HOLD,-0.023208333333333338
shapley.ypenburg_1940__rethymno_1941.crt.MASS,0.01616666666666667
shapley.ypenburg_1940__rethymno_1941.crt.RESPONSE,0.0
shapley.ypenburg_1940__rethymno_1941.crt.RISK,-0.004875
shapley.ypenburg_1940__rethymno_1941.lanchester.AIR,0.005633333333333335
shapley.ypenburg_1940__rethymno_1941.lanchester.DENIAL,-0.006949999999999999
shapley.ypenburg_1940__rethymno_1941.lanchester.HOLD,-0.018449999999999998
shapley.ypenburg_1940__rethymno_1941.lanchester.MASS,0.0076333333333333305
shapley.ypenburg_1940__rethymno_1941.lanchester.RESPONSE,0.0
shapley.ypenburg_1940__rethymno_1941.lanchester.RISK,-0.0028666666666666662
single.heraklion_1941__hostomel_2022.crt.AIR,0.01
single.heraklion_1941__hostomel_2022.crt.DENIAL,0.0
single.heraklion_1941__hostomel_2022.crt.HOLD,0.7425
single.heraklion_1941__hostomel_2022.crt.MASS,0.005
single.heraklion_1941__hostomel_2022.crt.RESPONSE,0.005
single.heraklion_1941__hostomel_2022.crt.RISK,0.0
single.heraklion_1941__hostomel_2022.lanchester.AIR,0.01
single.heraklion_1941__hostomel_2022.lanchester.DENIAL,0.0
single.heraklion_1941__hostomel_2022.lanchester.HOLD,0.763
single.heraklion_1941__hostomel_2022.lanchester.MASS,0.002
single.heraklion_1941__hostomel_2022.lanchester.RESPONSE,0.007
single.heraklion_1941__hostomel_2022.lanchester.RISK,0.0
single.heraklion_1941__maleme_1941.crt.AIR,0.02
single.heraklion_1941__maleme_1941.crt.DENIAL,0.0125
single.heraklion_1941__maleme_1941.crt.HOLD,0.055
single.heraklion_1941__maleme_1941.crt.MASS,0.0175
single.heraklion_1941__maleme_1941.crt.RESPONSE,0.0125
